path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/204.gml,0.7460047690620091,[ 1.83057594 -0.86054009],42
graphs/main/nodes_12/depth_3/205.gml,0.7368309964830131,[-1.7758019 -0.408049 ],33
graphs/main/nodes_12/depth_3/206.gml,0.7657222111162963,[-1.7625906   0.36389933],36
graphs/main/nodes_12/depth_3/207.gml,0.774193548386898,[-2.35620586  0.07675388],45
graphs/main/nodes_12/depth_3/208.gml,0.8003972738052688,[-1.33909077 -2.7556651 ],24
graphs/main/nodes_12/depth_3/209.gml,0.7628563144993025,[ 1.40152758 -0.34418593],30
graphs/main/nodes_12/depth_3/210.gml,0.7566399918331937,[-1.35780195 -2.74311324],27
graphs/main/nodes_12/depth_3/211.gml,0.7678096851705374,[-1.76343369 -0.38258519],66
graphs/main/nodes_12/depth_3/212.gml,0.8648267704015773,[ 2.98328879 -2.87785963],33
graphs/main/nodes_12/depth_3/213.gml,0.7737595391989399,[-1.77864601 -0.68433178],39
graphs/main/nodes_12/depth_3/214.gml,0.8110387856240278,[-0.18113685  0.28258287],84
graphs/main/nodes_12/depth_3/215.gml,0.8319564160329976,[ 2.9458786  -2.84217862],24
graphs/main/nodes_12/depth_3/216.gml,0.8272826890834879,[1.38341007 1.25269322],30
graphs/main/nodes_12/depth_3/217.gml,0.8020163026652716,[-2.95266873  1.27030895],87
graphs/main/nodes_12/depth_3/218.gml,0.8360334152705664,[ 2.96102464 -2.85211712],81
graphs/main/nodes_12/depth_3/219.gml,0.7354978081800602,[ 1.80212398 -0.89773316],42
graphs/main/nodes_12/depth_3/220.gml,0.811553533105183,[1.3925946  0.96280968],36
graphs/main/nodes_12/depth_3/221.gml,0.7434114254670461,[-1.34904357 -2.76770681],24
graphs/main/nodes_12/depth_3/222.gml,0.7068965516656651,[-0.78488281 -1.03307051],39
graphs/main/nodes_12/depth_3/223.gml,0.7746495774416188,[-1.78517193 -2.3650953 ],36
graphs/main/nodes_12/depth_3/224.gml,0.7529975285911491,[ 1.79211575 -0.67320126],48
graphs/main/nodes_12/depth_3/225.gml,0.8485110077929938,[ 2.91997512 -2.81879927],24
graphs/main/nodes_12/depth_3/226.gml,0.8046830189528228,[-1.81050067 -2.01235653],27
graphs/main/nodes_12/depth_3/227.gml,0.7724701245969712,[-1.38412235  2.78380028],66
graphs/main/nodes_12/depth_3/228.gml,0.7539156730013625,[-1.37364172  2.73738333],84
graphs/main/nodes_12/depth_3/229.gml,0.8309254560745298,[0.18728606 1.27303819],69
graphs/main/nodes_12/depth_3/230.gml,0.7328417728079685,[ 1.38261666 -0.88347349],63
graphs/main/nodes_12/depth_3/231.gml,0.8497958155909662,[0.20209324 2.83488102],45
graphs/main/nodes_12/depth_3/232.gml,0.7556306894713118,[-1.3929828  -0.49555864],36
graphs/main/nodes_12/depth_3/233.gml,0.7292172426612339,[-1.69577896 -0.3817026 ],24
graphs/main/nodes_12/depth_3/234.gml,0.7296052002159648,[ 1.3940996  -0.44785692],36
graphs/main/nodes_12/depth_3/235.gml,0.7241379310330751,[ 0.78538031 -3.01353956],24
